Comune;Provincia;Regione;Tipologia;Categoria;Denominazione;Indirizzo;CAP;Località;Frazione;Telefono;FAX;Indirizzo posta elettronica;Sito internet;Codice esercizio;Camere;Posti letto standard;Posti letto aggiuntivi;18;1]                                                                              ## 
SPOTORNO;SAVONA;Liguria;Alberghi;3STELLE;ZUNINO;VIA SERRA 23;17028;SPOTORNO;;019/745441;019/7416175;info@hotelzunino.it;http://www.hotelzunino.it;SV692;35;68;8;10;1]                                                                                                                                    ##
SPOTORNO;SAVONA;Liguria;Alberghi;4STELLE;ACQUA NOVELLA;VIA ACQUANOVELLA 1;17028;;;019/741665;019/74166155;info@acquanovella.it;www.acquanovella.it;SV681;74;154;19;18;1]                                                                                                                                 ##
SPOTORNO;SAVONA;Liguria;Alberghi;4STELLE;TIRRENO;VIA AURELIA 2;17028;SPOTORNO;;019/745107;019/745061;amministrazione@hotel-tirreno.it;www.hotel-tirreno.it;SV666;53;99;16;12;1]                                                                                                                          ##
SPOTORNO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;MIMOSA;VIA MAREMMA 18;17028;;;019/741100;019/741100;mimosa.spotorno@gmail.com;;200016;64;114;147;13;1]                                                                                                                                   ##
SPOTORNO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;TENNIS;VIA SERRA 37;17028;SPOTORNO;;019/745198;019/745198;info@residencetennis.it;www.residencetennis.it;SVR94;10;12;18;18;1]                                                                                                            ##
SPOTORNO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;VILLA OMBROSA;VIA AURELIA 34;17028;SPOTORNO;;019/745091;019/745091;villaombrosaspotorno@gmail.com;;2001229;7;11;6;19;1]                                                                                                                  ##
SPOTORNO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;AL PORTO;VIA SERRA 45;17028;SPOTORNO;;019/741178;019/741178;residenza@alporto.info;;SVR140;39;72;58;11;1]                                                                                                                                ##
SPOTORNO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;ARGENTINA;VIA PRIVATA VENEZIA 11;17028;SPOTORNO;;019/745176;019/745176;residenzaargentina@gmail.com;www.residenzaargentinaspotorno.com;19992914;14;28;27;16;1]                                                                           ##
TOVO SAN GIACOMO;SAVONA;Liguria;Alberghi;2STELLE;BERGALLO;PIAZZA SAN CARLO 10;17020;TOVO SAN GIACOMO;BARDINO VECCHIO;019/637226;019/649014;info@bergallo.net;www.bergallo.net;SV728;8;15;1;10;1]                                                                                                         ##
TOVO SAN GIACOMO;SAVONA;Liguria;Alberghi;2STELLE;FRANZONE;P.ZZA UMBERTO I 11;17020;TOVO SAN GIACOMO;;019/637133;019/637133;albergofranzone@gmail.com;;SV730;9;18;2;12;1]                                                                                                                                 ##
URBE;SAVONA;Liguria;Alberghi;1STELLA;ALLA SCALA;VIA MARASCA, 80;17048;URBE;;019/726017;019/726332;tizianazunino@gmail.com;;SV734;15;25;0;19;1]                                                                                                                                                           ##
URBE;SAVONA;Liguria;Alberghi;1STELLA;RAVERA;VIA VARA SUPERIORE 29;17048;URBE;VARA SUPERIORE;019/72227;;ravera04@live.it;;SV908;15;21;0;10;1]                                                                                                                                                             ##
URBE;SAVONA;Liguria;Alberghi;2STELLE;ALL'ALPINO;VIA S. RAMORINO 12;17048;;SAN PIETRO;019/726067;019/7269956;hotel-all-alpino@libero.it;;SV731;24;36;0;17;1]                                                                                                                                              ##
URBE;SAVONA;Liguria;Alberghi;2STELLE;LA NUVOLA SUL MARE;VIA FAIALLO 25;17048;PASSO FAIALLO;VARA SUPERIORE;;;lanuvolasulmare@libero.it;www.lanuvolasulmare.com;SV737;8;16;4;12;1]                                                                                                                         ##
URBE;SAVONA;Liguria;Alberghi;2STELLE;VARA;VIA VARA INF.18;17048;;VARA INFERIORE;019/733004;019/733004;albergovara@gmail.com;;SV733;29;52;1;11;1]                                                                                                                                                         ##
URBE;SAVONA;Liguria;Alberghi;3STELLE;MINETTO;VIA ROMA 51-53-55;17048;URBE;MARTINA;019/726085;;albergominetto@hotmail.com;;2009119;14;22;2;15;1]                                                                                                                                                          ##
URBE;SAVONA;Liguria;Locande;2STELLE;CAROLINA;VIA SAVONA 50;17048;URBE;;019/726414;019/726414;info@locandacarolina.it;;200415;4;7;1;16;1]                                                                                                                                                                 ##
VADO LIGURE;SAVONA;Liguria;Alberghi;4STELLE;SEA ART HOTEL;VIA AURELIA 454;17047;VADO LIGURE;PORTO VADO;019/216261;019/2161896;booking@seaarthotel.it;www.seaarthotel.it;20107;63;116;0;13;1]                                                                                                             ##
VARAZZE;SAVONA;Liguria;Alberghi;1STELLA;DELLA PIAZZETTA;VIA CERRUTI 2;17019;VARAZZE;;019/97681;019/97681;info@hoteldellapiazzetta.it;www.hoteldellapiazzetta.it;SV830;9;17;1;12;1]                                                                                                                       ##
VARAZZE;SAVONA;Liguria;Alberghi;1STELLA;DORIA;PIAZZA DORIA 6;17019;VARAZZE;;019/930101;019/930101;hoteldoria@varazze.net;www.vislink.it/hoteldoria;SV829;12;23;1;14;1]                                                                                                                                   ##
VARAZZE;SAVONA;Liguria;Alberghi;1STELLA;GRAN COLOMBO;VIA MONTENERO 2;17019;VARAZZE;;019/933272;019/930209;info@hotelgrancolombo.it;http://www.hotelgrancolombo.it;SV793;56;101;0;13;1]                                                                                                                   ##
VARAZZE;SAVONA;Liguria;Alberghi;1STELLA;MARESOL;VIA S.CATERINA 46/7;17019;VARAZZE;;019/97.254;019/96.331;hotelmaresol@hotmail.com;www.hotelmaresol.it;SV832;8;16;2;20;1]                                                                                                                                 ##
VARAZZE;SAVONA;Liguria;Alberghi;1STELLA;MARIA TERESA;VIA PIAVE 18;17019;VARAZZE;;019/934676;019/932606;albergomariateresa@gmail.com;;SV805;14;20;4;16;1]                                                                                                                                                 ##
VARAZZE;SAVONA;Liguria;Alberghi;1STELLA;PICCADILLY;VIA IV NOVEMBRE 15;17019;VARAZZE;;019/96220;019/96220;piccadillyvarazze@libero.it;www.hotelpiccadillyvarazze.it;SV835;15;30;3;14;1]                                                                                                                   ##
VARAZZE;SAVONA;Liguria;Alberghi;1STELLA;TRILLI;VIA VILLAGRANDE 7;17019;VARAZZE;;019/97607;019/97607;albergotrilli@gmail.com;;SV777;10;16;0;10;1]                                                                                                                                                         ##
VARAZZE;SAVONA;Liguria;Alberghi;1STELLA;VILLA GRANDE;CORSO COLOMBO 30/1;17019;VARAZZE;;019/935098;019/9355351;villagrande_2008@libero.it;www.albergovillagrande.org.it;SV844;15;23;1;15;1]                                                                                                               ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;AURORA;VIA TORINO 30;17019;VARAZZE;;019/9399488;019/9399488;tea@prontopec.com;www.albergoauroravarazze.it;SV782;12;24;0;20;1]                                                                                                                                    ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;AZZURRO;P.ZZA S.DOMENICO, 8;17019;VARAZZE;;019/931663;019/93.58.60;info@albergoazzurro.it;http://www.albergoazzurro.it/;SV826;20;37;1;18;1]                                                                                                                      ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;FRANCESCA;VIA NINO BIXIO 1;17019;VARAZZE;;019/932850;019/932850;francescaflabi@libero.it;;20128394;8;15;0;11;1]                                                                                                                                                  ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;GERMANI;VIA CAVETTO 8;17019;VARAZZE;;019/97080;019/934148;amministrazione@hotelgermanivarazze.it;www.hotelgermanivarazze.it;SV789;21;36;14;10;1]                                                                                                                 ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;GUYA;VIA ROBELLO 10;17019;VARAZZE;;019/97582;019/932590;hotelguya@gmail.com;www.hotelguya.it;SV795;28;52;3;10;1]                                                                                                                                                 ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;INES;VIA CAVOUR, 10;17019;VARAZZE;;019/97302;019/9354599;hotel.ines@tiscali.it;http://www.hotelinesvarazze.it;SV797;12;19;4;19;1]                                                                                                                                ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;LADY SUSANNA;VIA PERASSO, 2;17019;VARAZZE;;019/97470;019/9353920;hotelladysusanna@yahoo.it;www.hotelladysusanna.it;SV843;19;34;0;17;1]                                                                                                                           ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;LA MADUNINA;VIA MONTEGRAPPA 31;17019;VARAZZE;;019/96787;019/935790;lamadunina@fastwebnet.it;www.albergolamadunina.it;SV799;9;16;0;12;1]                                                                                                                          ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;LA MARINELLA;VIA NINO BIXIO 5;17019;VARAZZE;;019/97489;019/97489;albergomarinella@libero.it;www.albergolamarinella.it;SV800;13;24;0;11;1]                                                                                                                        ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;LA TAVERNETTA;VIA TORINO 40;17019;VARAZZE;;019/97315;019/97315;mbenni@hotmail.com;;SV801;11;17;0;10;1]                                                                                                                                                           ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;MARGHERITA;VIA IV NOVEMBRE 10;17019;VARAZZE;;019/930634;019/930634;info@albergomargherita.com;www.albergomargherita.com;SV804;13;24;0;19;1]                                                                                                                      ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;MILTON;VIA TORINO 2;17019;VARAZZE;;019/95656;019/95656;info@hotelmilton.it;www.hotelmilton.it;SV806;11;22;2;15;1]                                                                                                                                                ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;PUNTABELLA;VIA GENOVA, 149;17019;VARAZZE;;019/90.894;019/921080;info@hotelpuntabella.it;www.hotelpuntabella.it;SV810;24;46;3;15;1]                                                                                                                               ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;SAN CELSO;VIA SAN CELSO 9;17019;VARAZZE;;019/97722;019/97722;hotelsancelso@gmail.com;http://hotelsancelso.wixsite.com/varazze/gallery;SV837;12;22;1;14;1]                                                                                                        ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;SAN PAOLO;VIA CILEA 23;17019;VARAZZE;;019/95717;019/932595;info@hotelsanpaolovarazze.it;www.hotelsanpaolovarazze.it;SV814;14;25;0;18;1]                                                                                                                          ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;SERENA;VIA CILEA 7;17019;;;019/932435;019/934673;hotelserena1967@gmail.com;www.hotelserena.net;SV815;26;50;8;15;1]                                                                                                                                               ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;SPOT HOTEL;VIA NAZIONI UNITE 10;17019;VARAZZE;;019/97270;;info@hotelspotvarazze.it;www.hotelspotvarazze.it;SV790;15;25;0;15;1]                                                                                                                                   ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;VILLA CENTA;VIA XXIV APRILE 33;17019;;;019/933194;019/935867;villa.centa@libero.it;http://www.villacenta.it;SV818;19;38;8;15;1]                                                                                                                                  ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;VILLA MARIA;VIA CAIROLI, 28;17019;VARAZZE;;019/934664;019/933164;info@villamariavarazze.it;www.villamariavarazze.it;SV820;34;65;5;12;1]                                                                                                                          ##
VARAZZE;SAVONA;Liguria;Alberghi;2STELLE;VILLA ROSA;VIA RAVANO 3;17019;VARAZZE;;019/97240;019/933280;villarosavarazze@libero.it;www.villarosavarazze.com/;SV821;21;40;0;20;1]                                                                                                                             ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;ARISTON;VIA VILLAGRANDE 16;17019;VARAZZE;;019/97371;019/934064;info@hotelaristonvarazze.it;www.hotelaristonvarazze.it;SV748;43;83;15;14;1]                                                                                                                       ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;ASTIGIANA;VIA BUSCI, 10;17019;VARAZZE;;019/8934041;019/97.491;info@hotelastigiana.it;http://www.hotelastigiana.it;SV781;23;40;8;17;1]                                                                                                                            ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;BIANCA MARIA;VIA GENOVA, 2;17019;VARAZZE;;019/931023;019/930893;info@hotelbiancamariavarazze.it;www.hotelbiancamariavarazze.it;SV750;22;37;5;19;1]                                                                                                               ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;COCCODRILLO;VIA N. SARDI 16;17019;VARAZZE;;019/932015;019/932588;info@coccodrillo.it;www.coccodrillo.it;SV754;36;66;12;19;1]                                                                                                                                     ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;EDEN;VIA VILLAGRANDE 1;17019;VARAZZE;;019/932888;019/96315;info@hoteledenvarazze.it;www.hoteledenvarazze.it;SV743;45;81;4;11;1]                                                                                                                                  ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;GARDEN PALACE;VIA GAGGINO 19;17019;VARAZZE;;019/930260;019/932175;info@hotelgardenpalace.it;www.hotelgardenpalace.it;2000177;50;79;1;18;1]                                                                                                                       ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;GENOVESE VILLA ELENA;VIA CODA 16;17019;VARAZZE;;019/97526;019/934277;info@genovesevillaelena.it;www.genovesevillaelena.it;SV759;47;78;10;14;1]                                                                                                                   ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;IDEALE;VIA S.CATERINA 34;17019;VARAZZE;;019/934677;019/932248;info@hotelidealevarazze.it;www.hotelidealevarazze.it;SV761;41;73;3;17;1]                                                                                                                           ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;LE PALME;VIA SAN DOMENICO 9;17019;VARAZZE;;019/97242;019/930808;amministrazione@odeal.it;www.lepalmevarazze.com;SV763;67;106;7;13;1]                                                                                                                             ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;LE ROI;VIA GENOVA 43;17019;VARAZZE;;019/95902;019/95903;hotel@leroi.it;www.leroi.it;SV846;19;36;4;18;1]                                                                                                                                                          ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;LIDO;VIA COLOMBO 72;17019;VARAZZE;;019/934646;;info@hotellidovarazze.com;www.hotellidovarazze.com;SV764;25;40;1;13;1]                                                                                                                                            ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;MIRANDA;VIA GARIBALDI 21;17019;VARAZZE;;019/934668;019/934669;info@hotelmiranda.it;www.hotelmiranda.it;SV766;30;56;0;19;1]                                                                                                                                       ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;PALACE;VIA GAGGINO 37;17019;VARAZZE;;019/97706;019/932175;info@hotelpalacevarazze.it;www.hotelpalacevarazze.it;SV767;42;72;0;12;1]                                                                                                                               ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;PARK HOTEL;VIA PADRE PIAZZA 1;17019;;;019/930294;019/932610;info@parkhotelvarazze.it;www.parkhotelvarazze.it;SV768;13;23;2;17;1]                                                                                                                                 ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;RIO;PIAZZA S. DOMENICO 9;17019;VARAZZE;;019/97251;019/97251;info@hotelriovarazze.it;www.hotelriovarazze.it;SV769;13;23;3;16;1]                                                                                                                                   ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;RIVIERA;VIA CAMMINATA INFERIORE 18;17019;VARAZZE;;019/9399366;019/8935771;info@hotelrivieravarazze.it;www.hotelrivieravarazze.it;200987;35;64;0;18;1]                                                                                                            ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;SAN NAZARIO;VIA MONTANARO 3;17019;VARAZZE;;019/96755;019/96755;info@hotelsannazario.it;www.hotelsannazario.it;SV770;24;48;3;11;1]                                                                                                                                ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;TORRETTI;VIALE NAZIONI UNITE 6;17019;VARAZZE;;019/934623;019/932854;info@hoteltorretti.it;www.hoteltorretti.it;SV747;44;92;13;20;1]                                                                                                                              ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;VILLA CADIZ;VIA MARCONI 16;17019;VARAZZE;;019/933172;019/933277;info@hotelvillacadiz.it;www.hotelvillacadiz.it;SV771;22;42;4;16;1]                                                                                                                               ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;VILLA CAMILLA;VIA RAVANO, 5;17019;VARAZZE;;019/930807;019/934433;info@hotelvillacamilla.it;www.hotelvillacamilla.it;SV772;28;53;0;15;1]                                                                                                                          ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;VILLA DELIBERA;VIA S. DOMENICO 7;17019;VARAZZE;;019/97496;019/97497;info@villadelibera.it;www.villadelibera.it;SV773;17;34;9;13;1]                                                                                                                               ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;VILLA GLORIA;VIA NINO BIXIO 6;17019;VARAZZE;;019/95577;019/97718;info@hotelvillagloria.it;www.hotelvillagloria.it;SV774;25;43;3;19;1]                                                                                                                            ##
VARAZZE;SAVONA;Liguria;Alberghi;3STELLE;ZURIGO;VIA AMENDOLA 4;17019;VARAZZE;;019/932618;019/932840;info@hotelzurigo.it;www.hotelzurigo.it;SV775;32;62;1;16;1]                                                                                                                                            ##
VARAZZE;SAVONA;Liguria;Alberghi;4STELLE;CRISTALLO;VIA F. CILEA 4;17019;VARAZZE;;019/97264;019/93.55.757;info@cristallohotel.it;www.cristallohotel.it;SV742;44;86;12;19;1]                                                                                                                                ##
VARAZZE;SAVONA;Liguria;Alberghi;4STELLE;EL CHICO;STRADA ROMANA 63;17019;VARAZZE;;019/931388;019/932423;info@elchico.eu;www.elchico.eu;SV744;38;70;4;12;1]                                                                                                                                                ##
VARAZZE;SAVONA;Liguria;Alberghi;4STELLE;SAVOY;VIA MARCONI 4;17019;VARAZZE;;019/934626;019/932480;hsavoy@ivg.it;www.savoyvarazze.it;SV746;45;94;4;18;1]                                                                                                                                                   ##
VARAZZE;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;LA VIGNETTA;VIA VIGNETTA 26/A;17019;VARAZZE;;019/95488;019/9355141;info@residencelavignetta.it;www.residencelavignetta.it;SVR97;16;23;19;10;1]                                                                                            ##
VARAZZE;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;GENOVESE AL MARE;VIA COLOMBO 64;17019;VARAZZE;;019/98394;019/98394;info@residencegenovesemare.it;www.residencegenovesemare.it;SVR96;10;17;19;16;1]                                                                                        ##
VEZZI PORTIO;SAVONA;Liguria;Locande;2STELLE;CA' DE RUSITTA;VIA BASSI INFERIORE, 4;17028;VEZZI PORTIO;PORTIO;019/742219;;info@caderusitta.it;www.caderusitta.it;200690;4;7;0;14;1]                                                                                                                        ##
VEZZI PORTIO;SAVONA;Liguria;Locande;3STELLE;LE PETIT CHATEAU;VIA FINALE, 22;17028;VEZZI PORTIO;PORTIO;348/2626283;019/742286;info@lepetitchateauonline.com;www.lepetitchateauonline.com;2006106;4;8;0;11;1]                                                                                              ##
VILLANOVA D'ALBENGA;SAVONA;Liguria;Alberghi;3STELLE;HERMITAGE;VIA ROMA 152;17038;;;0182/582976;0182/582975;info@hotelhermitage.info;www.hotelhermitage.info;SV845;11;22;1;13;1]                                                                                                                          ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;1STELLA;SERENA;VIA MATTEOTTI 146;16011;ARENZANO;;0109127531;010/9127531;info@hotelserena-ge.it;;GE300;6;9;1;16;1]                                                                                                                               ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;1STELLA;SERENA DIPENDENZA;VIA GRAMSCI n.8/2;16011;ARENZANO;;010/9127531;010/9127531;info@hotelserena-ge.it;;GE302;1;2;1;12;1]                                                                                                                   ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;1STELLA;VITTORIA;Via Capitan Romeo 59;16011;ARENZANO;;010 9127312;010 9127312;hotel@arenzano.org;www.hotel.arenzano.org;20127590;6;12;4;19;1]                                                                                                   ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;ALBATROS;C.SO MATTEOTTI 104/2;16011;ARENZANO;;010/9130096;010/9132355;info@albatros-hotel.it;http://www.albatros-hotel.it;2001208;10;19;4;11;1]                                                                                         ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;EDEN;VIA TRIESTE 15;16011;ARENZANO;;010/9127568;010/9112279;hoteledenarenzano@libero.it;;GE240;10;18;2;20;1]                                                                                                                            ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;3STELLE;ENA;VIA MATTEOTTI 12;16011;ARENZANO;;010/9127379;010/9125696;info@enahotel.it;http://www.enahotel.it/ena/ena.htm;GE250;22;41;1;10;1]                                                                                                    ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;3STELLE;RIVIERA;PIAZZA GRAMSCI N. 10;16030;ARENZANO;;010/9134863;010/9130313;info@hotelriviera-arenzano.it;http:\\www.hotelriviera-arenzano.it;200418;26;48;7;18;1]                                                                             ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;3STELLE;ULIVI;VIA OLIVETTE 12;16011;ARENZANO;;01/9127712 - 010/9127714;010/9131384;info@hotelulivi.com;http://www.hotelulivi.com;GE310;10;20;0;17;1]                                                                                            ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;4STELLE;GRAND HOTEL;LUNGOMARE STATI UNITI 2;16011;ARENZANO;;010/91091;010/9109444;info@gharenzano.it;http://www.gharenzano.it/;GE5280;109;207;23;16;1]                                                                                          ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;4STELLE;IL POGGIO;VIA DI FRANCIA 24;16011;ARENZANO;;010/9135320-1-2;010/8590046;info@poggiohotel.it;www.poggiohotel.it;GE5090;40;79;4;12;1]                                                                                                     ##
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;4STELLE;PUNTA S.MARTINO;PUNTA S.MARTINO 4;16011;ARENZANO;;010 - 91081;010 - 91088888;info@hotelpsm.it;http://www.hotelpsm.it/;GE5470;76;152;35;11;1]                                                                                            ##
AVEGNO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;LAGOSCURO;VIA ANTICA ROMANA,5;16030;AVEGNO;;0185/79017;0185/79317;albergo@lagoscuro.it;http://www.lagoscuro.it;GE1040;14;25;1;10;1]                                                                                                       ##
BOGLIASCO;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;VILLA FLORA;VIA AURELIA 5;16031;GE;BOGLIASCO;0103470013/3749314;0103471123;info@hotelvillaflora.it;www.hotelvillaflora.it;GE1270;23;41;4;17;1]                                                                                         ##
BORZONASCA;CITTA' METROPOLITANA DI GENOVA;Liguria;Locande;2STELLE;LE AZALEE;LAGO DI MALANOTTE, 26;16041;LAGO DI MALANOTTE;;0185/341005;0185/341060;urustegu@libero.it;www.urustegu.it;20116075;0;0;0;14;1]                                                                                               ##
BORZONASCA;CITTA' METROPOLITANA DI GENOVA;Liguria;Locande;2STELLE;LE AZALEE DIPENDENZA;LAGO DI MALANOTTE;16041;LAGO DI MALANOTTE;;0185/341005;0185/341060;urustegu@libero.it;www.urustegu.com;20116076;6;11;0;14;1]                                                                                      ##
BUSALLA;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;VITTORIA;VIA VITTORIO VENETO 177;16012;BUSALLA;;0109761284;010/9760635;info@albergobarvittoria.it;;GE5510;15;25;0;16;1]                                                                                                                  ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;1STELLA;AURELIA;VIA AURELIA,249;16032;RUTA;;0185/770281;0185-770208;albergoaurelia@gmail.com;;GE1280;7;12;0;17;1]                                                                                                                                ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;1STELLA;DA GIOVANNI;LOC. SAN FRUTTUOSO 10;16032;SAN FRUTTUOSO;;0185/770047;0185/770047;dagiovanniristorante@libero.it;www.dagiovanniristorante.com;GE910;7;11;0;15;1]                                                                            ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;1STELLA;SELENE;VIA CUNEO 15 - 16;16032;;;0185/770149;0185/770195;8turism@libero.it;;GE1330;9;17;1;19;1]                                                                                                                                          ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;AUGUSTA;Via P. Schiaffino 100;16032;;;0185/770592;0185/770593;info@htlaugusta.com;http://www.htlaugusta.com;GE1320;12;22;0;18;1]                                                                                                         ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;LA CAMOGLIESE;VIA GARIBALDI 55;16032;CAMOGLI;;0185/771402;0185/774024;info@lacamogliese.it;http://www.lacamogliese.it;GE1310;21;36;4;20;1]                                                                                               ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;3STELLE;CASMONA;Salita Pineto 13;16032;CAMOGLI;;0185 770015;0185 775030;info@casmona.com;http://www.casmona.com;GE1290;19;36;10;14;1]                                                                                                            ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;4STELLE;CENOBIO DEI DOGI;VIA CUNEO 34;16032;CAMOGLI;;01857241;0185772796;reception@cenobio.it;http://www.cenobio.it;GE1300;103;197;20;17;1]                                                                                                      ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Locande;2STELLE;LOCANDA DEL PARCO;Via San Fruttuoso 24;16032;San Fruttuoso di Camogli;;;;info@parcoportofino.it;;20128325;5;9;0;12;1]                                                                                                                     ##
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;Locande;3STELLE;LOCANDA I TRE MERLI;VIA SCALO 5;16032;CAMOGLI;;0185776752;0185777523;camogli@itremerli.it;www.itremerli.it/www.locandaitremerli.com;2006127;5;10;1;14;1]                                                                                  ##
CAMPO LIGURE;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;TURCHINO;VIA ISOLA GIUGNO,109;16013;CAMPOLIGURE;MADDALENA;010/921369;010/920791;info@hotelturchino.com;http://www.hotelturchino.com;GE350;16;25;0;15;1]                                                                             ##
CASELLA;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;1STELLA;ANNA;VIA FORNACE 1;16015;CASELLA;;0109677024;0109677024;pensioneannacasella@libero.it;;GE360;7;13;1;15;1]                                                                                                                                ##
CASELLA;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;1STELLA;MAGENTA;P.ZZA XXV APRILE,20;16015;CASELLA;;010/9677113;010/9677113;albergomagenta@yahoo.com;;GE370;20;25;0;15;1]                                                                                                                         ##
CASTIGLIONE CHIAVARESE;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;SANTUARIO;VIA N.S.DELLA GUARDIA 3;16030;SANTUARIO;VELVA;0185/40431;0185/40431;andrea.caffarata@libero.it;;GE60;18;36;0;16;1]                                                                                              ##
CHIAVARI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;DORIA;P.ZZA LEONARDI 10;16043;;;0185305101;0185014566;info@hoteldoria.eu;http://www.hoteldoria.eu;GE2890;15;23;7;19;1]                                                                                                                  ##
CHIAVARI;CITTA' METROPOLITANA DI GENOVA;Liguria;Alberghi;2STELLE;MIRAMARE;C.SO VALPARAISO 56;16043;CHIAVARI;;0185 309891;0185 376105;albergo-miramare@virgilio.it;www.albergoristorantemiramare.it;GE3000;15;25;0;11;1]                                                                                  ##
